# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 11 05:48:18 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_kepflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_name,pl_disc,pl_pelink
293,HD 1502,b,Radial Velocity,1,431.80000000,1.310000,0.101000,,3.10000,,,,0,4.821110,14.054755,167.50,8.342,,,,HD 1502,HIP 1547,HD 1502 b,2011,http://exoplanet.eu/catalog/hd_1502_b/
294,HD 150706,b,Radial Velocity,1,5894.00000000,6.700000,0.380000,,2.71000,,,,0,247.823273,79.789772,27.23,7.020,5961.00,1.1700,0.96,HD 150706,HIP 80902,HD 150706 b,2012,http://exoplanet.eu/catalog/hd_150706_b/
295,HD 152079,b,Radial Velocity,1,2097.00000000,3.200000,0.600000,,3.00000,,,,0,253.373901,-46.332958,85.18,9.156,,,,HD 152079,HIP 82632,HD 152079 b,2009,http://exoplanet.eu/catalog/hd_152079_b/
296,HD 152581,b,Radial Velocity,1,689.00000000,1.480000,0.074000,,1.50000,,,,0,253.431595,11.973746,182.82,8.347,,,,HD 152581,HIP 82651,HD 152581 b,2011,http://exoplanet.eu/catalog/hd_152581_b/
297,HD 153950,b,Radial Velocity,1,499.40000000,1.280000,0.340000,,2.73000,,,,0,256.128632,-43.309769,51.87,7.390,,,,HD 153950,HIP 83547,HD 153950 b,2008,http://exoplanet.eu/catalog/hd_153950_b/
298,HD 154345,b,Radial Velocity,1,3342.00000000,4.190000,0.044000,,0.94700,,,,0,255.651688,47.081882,18.06,6.760,,,,HD 154345,HIP 83389,HD 154345 b,2006,http://exoplanet.eu/catalog/hd_154345_b/
299,HD 154672,b,Radial Velocity,1,163.90000000,0.600000,0.610000,,5.02000,,,,0,257.520477,-56.449268,65.79,8.204,,,,HD 154672,HIP 83983,HD 154672 b,2008,http://exoplanet.eu/catalog/hd_154672_b/
300,HD 154857,b,Radial Velocity,2,408.60000000,1.291000,0.460000,,2.24000,,,,0,257.815521,-56.680798,68.54,7.238,5605.00,1.7180,1.76,HD 154857,HIP 84069,HD 154857 b,2004,http://exoplanet.eu/catalog/hd_154857_b/
301,HD 154857,c,Radial Velocity,2,3452.00000000,5.360000,0.060000,,2.58000,,,,0,257.815521,-56.680798,68.54,7.238,5605.00,1.7180,1.76,HD 154857,HIP 84069,HD 154857 c,2014,http://exoplanet.eu/catalog/hd_154857_c/
302,HD 155358,b,Radial Velocity,2,194.30000000,0.640000,0.170000,,0.85000,,,,0,257.394226,33.355854,43.40,7.270,,,,HD 155358,HIP 83949,HD 155358 b,2007,http://exoplanet.eu/catalog/hd_155358_b/
303,HD 155358,c,Radial Velocity,2,391.90000000,1.020000,0.160000,,0.82000,,,,0,257.394226,33.355854,43.40,7.270,,,,HD 155358,HIP 83949,HD 155358 c,2007,http://exoplanet.eu/catalog/hd_155358_c/
304,HD 156279,b,Radial Velocity,1,131.05000000,0.495000,0.708000,,9.71000,,,,0,258.096680,63.352093,35.37,8.077,,,,HD 156279,HIP 84171,HD 156279 b,2011,http://exoplanet.eu/catalog/hd_156279_b/
305,HD 156411,b,Radial Velocity,1,842.20000000,1.880000,0.220000,,0.74000,,,,0,259.964172,-48.549320,55.10,6.673,5900.00,1.2500,2.16,HD 156411,HIP 84787,HD 156411 b,2009,http://exoplanet.eu/catalog/hd_156411_b/
306,HD 156668,b,Radial Velocity,1,4.64550000,0.050000,0.000000,,0.01300,,,,0,259.418701,29.227226,24.05,8.420,,,,HD 156668,HIP 84607,HD 156668 b,2010,http://exoplanet.eu/catalog/hd_156668_b/
307,HD 156846,b,Radial Velocity,1,359.55460000,1.096000,0.847850,,10.57000,,,,0,260.142944,-19.333746,49.00,6.520,,,,HD 156846,HIP 84856,HD 156846 b,2007,http://exoplanet.eu/catalog/hd_156846_b/
308,HD 158038,b,Radial Velocity,1,521.00000000,1.520000,0.291000,,1.80000,,,,0,261.439301,27.303341,114.15,7.464,,,,HD 158038,HIP 85294,HD 158038 b,2011,http://exoplanet.eu/catalog/hd_158038_b/
309,HD 159243,b,Radial Velocity,2,12.62000000,0.110000,0.020000,,1.13000,,,,0,263.339783,5.700733,68.59,8.646,6123.00,1.1250,1.12,HD 159243,HIP 85911,HD 159243 b,2013,http://exoplanet.eu/catalog/hd_159243_b/
310,HD 159243,c,Radial Velocity,2,248.40000000,0.800000,0.075000,,1.90000,,,,0,263.339783,5.700733,68.59,8.646,6123.00,1.1250,1.12,HD 159243,HIP 85911,HD 159243 c,2013,http://exoplanet.eu/catalog/hd_159243_c/
311,HD 159868,b,Radial Velocity,2,1178.40000000,2.250000,0.010000,,2.10000,,,,0,264.748016,-43.145515,52.72,7.242,,,,HD 159868,HIP 86375,HD 159868 b,2006,http://exoplanet.eu/catalog/hd_159868_b/
312,HD 159868,c,Radial Velocity,2,352.30000000,1.000000,0.150000,,0.73000,,,,0,264.748016,-43.145515,52.72,7.242,,,,HD 159868,HIP 86375,HD 159868 c,2012,http://exoplanet.eu/catalog/hd_159868_c/
313,HD 1605,b,Radial Velocity,2,577.90000000,1.480000,0.078000,,0.96000,,,,0,5.131330,30.974804,84.60,7.520,4757.00,1.3100,3.80,HD 1605,HIP 1640,HD 1605 b,2015,http://exoplanet.eu/catalog/hd_1605_b/
314,HD 1605,c,Radial Velocity,2,2111.00000000,3.520000,0.098000,,3.48000,,,,0,5.131330,30.974804,84.60,7.520,4757.00,1.3100,3.80,HD 1605,HIP 1640,HD 1605 c,2015,http://exoplanet.eu/catalog/hd_1605_c/
315,HD 160691,b,Radial Velocity,4,643.25000000,1.497000,0.128000,,1.08000,,,,0,266.036255,-51.834053,15.28,5.150,5807.00,1.0800,,HD 160691,HIP 86796,HD 160691 b,2000,http://exoplanet.eu/catalog/mu_ara_b/
316,HD 160691,c,Radial Velocity,4,4205.80000000,5.235000,0.098500,,1.81400,,,,0,266.036255,-51.834053,15.28,5.150,5807.00,1.0800,,HD 160691,HIP 86796,HD 160691 c,2004,http://exoplanet.eu/catalog/mu_ara_c/
317,HD 160691,d,Radial Velocity,4,9.63860000,0.090940,0.172000,,0.03321,,,,0,266.036255,-51.834053,15.28,5.150,5807.00,1.0800,,HD 160691,HIP 86796,HD 160691 d,2004,http://exoplanet.eu/catalog/mu_ara_d/
318,HD 160691,e,Radial Velocity,4,310.55000000,0.921000,0.066600,,0.52190,,,,0,266.036255,-51.834053,15.28,5.150,5807.00,1.0800,,HD 160691,HIP 86796,HD 160691 e,2006,http://exoplanet.eu/catalog/mu_ara_e/
319,HD 16141,b,Radial Velocity,1,75.52300000,0.363000,0.252000,,0.26000,,,,0,38.833035,-3.560602,35.91,,,,,HD 16141,HIP 12048,HD 16141 b,2000,http://exoplanet.eu/catalog/hd_16141_b/
320,HD 16175,b,Radial Velocity,1,990.00000000,2.100000,0.590000,,4.40000,,,,0,39.257961,42.062634,59.84,7.282,6080.00,1.2900,1.68,HD 16175,HIP 12191,HD 16175 b,2009,http://exoplanet.eu/catalog/hd_16175_b/
321,HD 162020,b,Radial Velocity,1,8.42819800,0.074000,0.277000,,14.40000,,,,0,267.659821,-40.318348,31.26,9.120,,,,HD 162020,HIP 87330,HD 162020 b,2002,http://exoplanet.eu/catalog/hd_162020_b/
322,HD 163607,b,Radial Velocity,2,75.29000000,0.360000,0.730000,,0.77000,,,,0,268.418732,56.391956,69.44,7.979,5543.00,1.0900,1.63,HD 163607,HIP 87601,HD 163607 b,2010,http://exoplanet.eu/catalog/hd_163607_b/
323,HD 163607,c,Radial Velocity,2,1314.00000000,2.420000,0.120000,,2.29000,,,,0,268.418732,56.391956,69.44,7.979,5543.00,1.0900,1.63,HD 163607,HIP 87601,HD 163607 c,2010,http://exoplanet.eu/catalog/hd_163607_c/
324,HD 16417,b,Radial Velocity,1,17.24000000,0.140000,0.200000,,0.06960,,,,0,39.244198,-34.577976,25.54,5.790,,,,HD 16417,HIP 12186,HD 16417 b,2008,http://exoplanet.eu/catalog/hd_16417_b/
325,HD 164509,b,Radial Velocity,1,282.40000000,0.875000,0.260000,,0.48000,,,,0,270.380127,0.104556,51.81,8.103,5922.00,1.1300,1.06,HD 164509,HIP 88268,HD 164509 b,2010,http://exoplanet.eu/catalog/hd_164509_b/
326,HD 164604,b,Radial Velocity,1,606.40000000,1.300000,0.240000,,2.70000,,,,0,270.778900,-28.560644,37.98,9.827,,,,HD 164604,HIP 88414,HD 164604 b,2009,http://exoplanet.eu/catalog/hd_164604_b/
327,HD 164922,b,Radial Velocity,1,1155.00000000,2.110000,0.050000,,0.36000,,,,0,270.628601,26.313002,21.92,7.010,,,,HD 164922,HIP 88348,HD 164922 b,2005,http://exoplanet.eu/catalog/hd_164922_b/
328,HD 1666,b,Radial Velocity,1,270.00000000,0.940000,0.630000,,6.43000,,,,0,5.218085,-19.931225,110.62,8.170,6317.00,1.5000,1.93,HD 1666,HIP 1666,HD 1666 b,2015,http://exoplanet.eu/catalog/hd_1666_b/
329,HD 166724,b,Radial Velocity,1,5144.00000000,5.420000,0.734000,,3.53000,,,,0,273.498657,-42.575375,42.99,9.344,5127.00,0.8100,,HD 166724,HIP 89354,HD 166724 b,2012,http://exoplanet.eu/catalog/hd_166724_b/
330,HD 167042,b,Radial Velocity,1,420.77000000,1.320000,0.089000,,1.70000,,,,0,272.631836,54.286552,50.00,5.940,4943.00,1.5000,4.50,HD 167042,HIP 89047,HD 167042 b,2007,http://exoplanet.eu/catalog/hd_167042_b/
331,HD 168443,b,Radial Velocity,2,58.11247000,0.293100,0.528830,,7.65900,,,,0,275.016388,-9.595722,37.88,6.917,5491.00,0.9950,1.51,HD 168443,HIP 89844,HD 168443 b,1998,http://exoplanet.eu/catalog/hd_168443_b/
332,HD 168443,c,Radial Velocity,2,1749.83000000,2.837300,0.211300,,17.19300,,,,0,275.016388,-9.595722,37.88,6.917,5491.00,0.9950,1.51,HD 168443,HIP 89844,HD 168443 c,2000,http://exoplanet.eu/catalog/hd_168443_c/
333,HD 168746,b,Radial Velocity,1,6.40400000,0.065900,0.107000,,0.24800,,,,0,275.457428,-11.922684,43.12,7.946,5564.00,0.9300,,HD 168746,HIP 90004,HD 168746 b,2002,http://exoplanet.eu/catalog/hd_168746_b/
334,HD 1690,b,Radial Velocity,1,533.00000000,1.300000,0.640000,,6.10000,,,,0,5.305497,-8.281169,7.01,9.173,,,,HD 1690,HIP 1692,HD 1690 b,2010,http://exoplanet.eu/catalog/hd_1690_b/
335,HD 169830,b,Radial Velocity,2,225.62000000,0.810000,0.310000,,2.88000,,,,0,276.956177,-29.816866,36.32,5.902,6299.00,1.4000,,HD 169830,HIP 90485,HD 169830 b,2000,http://exoplanet.eu/catalog/hd_169830_b/
336,HD 169830,c,Radial Velocity,2,2102.00000000,3.600000,0.330000,,4.04000,,,,0,276.956177,-29.816866,36.32,5.902,6299.00,1.4000,,HD 169830,HIP 90485,HD 169830 c,2003,http://exoplanet.eu/catalog/hd_169830_c/
337,HD 170469,b,Radial Velocity,1,1145.00000000,2.100000,0.110000,,0.67000,,,,0,277.295746,11.695502,64.98,8.210,5810.00,1.1400,1.22,HD 170469,HIP 90593,HD 170469 b,2007,http://exoplanet.eu/catalog/hd_170469_b/
338,HD 17092,b,Radial Velocity,1,359.90000000,,0.166000,,4.60000,,,,0,41.592153,49.653075,,,4650.00,2.3000,,HD 17092,,HD 17092 b,2007,http://exoplanet.eu/catalog/hd_17092_b/
339,HD 171028,b,Radial Velocity,1,550.00000000,1.320000,0.590000,,1.98000,,,,0,278.064552,6.945749,90.00,8.310,5663.00,0.9900,1.95,HD 171028,,HD 171028 b,2007,http://exoplanet.eu/catalog/hd_171028_b/
340,HD 171238,b,Radial Velocity,1,1523.00000000,2.540000,0.400000,,2.60000,,,,0,278.681976,-28.072313,44.05,8.660,5467.00,0.9430,,HD 171238,HIP 91085,HD 171238 b,2009,http://exoplanet.eu/catalog/hd_171238_b/
341,HD 17156,b,Radial Velocity,1,21.21663000,0.161400,0.681900,3.22000,,1.020,3.78000,87.890,0,42.435364,71.753235,75.00,8.172,6100.00,1.2400,1.44,HD 17156,HIP 13192,HD 17156 b,2007,http://exoplanet.eu/catalog/hd_17156_b/
342,HD 173416,b,Radial Velocity,1,323.60000000,1.160000,0.210000,,2.70000,,,,0,280.900452,36.556606,134.95,6.057,4683.00,2.0000,13.50,HD 173416,HIP 91852,HD 173416 b,2008,http://exoplanet.eu/catalog/hd_173416_b/
343,HD 175167,b,Radial Velocity,1,1290.00000000,2.400000,0.540000,,7.80000,,,,0,285.003479,-69.944244,67.02,8.000,,,,HD 175167,HIP 93281,HD 175167 b,2009,http://exoplanet.eu/catalog/hd_175167_b/
344,HD 175541,b,Radial Velocity,1,297.30000000,1.030000,0.330000,,0.61000,,,,0,283.920349,4.265325,127.55,8.030,5060.00,1.6500,3.80,HD 175541,HIP 92895,HD 175541 b,2007,http://exoplanet.eu/catalog/hd_175541_b/
345,HD 177830,b,Radial Velocity,2,406.60000000,1.221800,0.009000,,1.49000,,,,0,286.336548,25.920660,59.03,7.177,,,,HD 177830,HIP 93746,HD 177830 b,1999,http://exoplanet.eu/catalog/hd_177830_b/
346,HD 177830,c,Radial Velocity,2,110.90000000,0.513700,0.300000,,0.15000,,,,0,286.336548,25.920660,59.03,7.177,,,,HD 177830,HIP 93746,HD 177830 c,2010,http://exoplanet.eu/catalog/hd_177830_c/
347,HD 178911 B,b,Radial Velocity,1,71.48400000,0.339000,0.114000,,7.03000,,,,0,287.262939,34.599850,46.73,7.792,,,,HD 178911 B,HIP 94075,HD 178911 B b,2001,http://exoplanet.eu/catalog/hd_178911_b_b/
348,HD 179079,b,Radial Velocity,1,14.47600000,0.121600,0.115000,,0.08660,,,,0,287.790955,-2.638385,63.69,7.950,5684.00,1.1460,1.60,HD 179079,HIP 94256,HD 179079 b,2008,http://exoplanet.eu/catalog/hd_179079_b/
349,HD 179949,b,Radial Velocity,1,3.09251400,0.044300,0.022000,,0.91600,,,,0,288.888458,-24.179352,27.05,6.250,6168.00,1.2100,,HD 179949,HIP 94645,HD 179949 b,2000,http://exoplanet.eu/catalog/hd_179949_b/
350,HD 180314,b,Radial Velocity,1,396.03000000,1.400000,0.257000,22.00000,,,,,0,288.709198,31.860350,131.75,6.608,,,,HD 180314,HIP 94576,HD 180314 b,2010,http://exoplanet.eu/catalog/hd_180314_b/
351,HD 180902,b,Radial Velocity,1,479.00000000,1.390000,0.090000,,1.60000,,,,0,289.823792,-23.558155,114.55,7.778,,,,HD 180902,HIP 94951,HD 180902 b,2009,http://exoplanet.eu/catalog/hd_180902_b/
352,HD 181342,b,Radial Velocity,1,663.00000000,1.780000,0.177000,,3.30000,,,,0,290.267639,-23.619572,115.47,7.551,,,,HD 181342,HIP 95124,HD 181342 b,2009,http://exoplanet.eu/catalog/hd_181342_b/
353,HD 181433,b,Radial Velocity,3,9.37430000,0.080000,0.396000,,0.02400,,,,0,291.289856,-66.468796,26.15,8.400,4962.00,0.7800,,HD 181433,HIP 95467,HD 181433 b,2008,http://exoplanet.eu/catalog/hd_181433_b/
354,HD 181433,c,Radial Velocity,3,962.00000000,1.760000,0.280000,,0.64000,,,,0,291.289856,-66.468796,26.15,8.400,4962.00,0.7800,,HD 181433,HIP 95467,HD 181433 c,2008,http://exoplanet.eu/catalog/hd_181433_c/
355,HD 181433,d,Radial Velocity,3,2172.00000000,3.000000,0.480000,,0.54000,,,,0,291.289856,-66.468796,26.15,8.400,4962.00,0.7800,,HD 181433,HIP 95467,HD 181433 d,2008,http://exoplanet.eu/catalog/hd_181433_d/
356,HD 181720,b,Radial Velocity,1,956.00000000,1.780000,0.260000,,0.37000,,,,0,290.720764,-32.919056,55.93,7.849,5781.00,0.9200,1.39,HD 181720,HIP 95262,HD 181720 b,2009,http://exoplanet.eu/catalog/hd_181720_b/
357,HD 183263,b,Radial Velocity,2,626.50000000,1.510000,0.356700,,3.67000,,,,0,292.102386,8.358054,52.83,7.861,5936.00,1.1700,,HD 183263,HIP 95740,HD 183263 b,2004,http://exoplanet.eu/catalog/hd_183263_b/
358,HD 183263,c,Radial Velocity,2,3070.00000000,4.350000,0.239000,,3.57000,,,,0,292.102386,8.358054,52.83,7.861,5936.00,1.1700,,HD 183263,HIP 95740,HD 183263 c,2008,http://exoplanet.eu/catalog/hd_183263_c/
359,HD 185269,b,Radial Velocity,1,6.83800000,0.077000,0.300000,,0.94000,,,,0,294.298920,28.499865,47.37,,5980.00,1.2800,1.88,HD 185269,HIP 96507,HD 185269 b,2006,http://exoplanet.eu/catalog/hd_185269_b/
360,HD 187085,b,Radial Velocity,1,986.00000000,2.050000,0.470000,,0.75000,,,,0,297.391541,-37.780552,44.98,7.214,6075.00,1.2200,,HD 187085,HIP 97546,HD 187085 b,2006,http://exoplanet.eu/catalog/hd_187085_b/
361,HD 187123,b,Radial Velocity,2,3.09658280,0.042600,0.010300,,0.52300,,,,0,296.742126,34.419525,47.92,7.832,5830.00,1.0000,,HD 187123,HIP 97336,HD 187123 b,1998,http://exoplanet.eu/catalog/hd_187123_b/
362,HD 187123,c,Radial Velocity,2,3810.00000000,4.890000,0.252000,,1.99000,,,,0,296.742126,34.419525,47.92,7.832,5830.00,1.0000,,HD 187123,HIP 97336,HD 187123 c,2008,http://exoplanet.eu/catalog/hd_187123_c/
363,HD 18742,b,Radial Velocity,1,772.00000000,1.920000,0.120000,,2.70000,,,,0,45.044407,-20.802603,127.88,7.814,,,,HD 18742,HIP 13993,HD 18742 b,2011,http://exoplanet.eu/catalog/hd_18742_b/
364,HD 188015,b,Radial Velocity,1,461.20000000,1.203000,0.137000,,1.50000,,,,0,298.018921,28.100376,52.63,8.234,5746.00,1.0900,,HD 188015,HIP 97769,HD 188015 b,2004,http://exoplanet.eu/catalog/hd_188015_b/
365,HD 189733,b,Radial Velocity,1,2.21857578,0.031420,,1.15000,,1.151,1.00400,85.780,0,300.182129,22.710854,19.25,7.670,5050.00,0.8400,0.75,HD 189733,HIP 98505,HD 189733 b,2005,http://exoplanet.eu/catalog/hd_189733_b/
366,HD 190360,b,Radial Velocity,2,2915.00000000,4.010000,0.313000,,1.56000,,,,0,300.905853,29.896805,15.89,5.730,5590.00,0.9600,1.13,HD 190360,HIP 98767,HD 190360 b,2003,http://exoplanet.eu/catalog/hd_190360_b/
367,HD 190360,c,Radial Velocity,2,17.11100000,0.130400,0.237000,,0.06000,,,,0,300.905853,29.896805,15.89,5.730,5590.00,0.9600,1.13,HD 190360,HIP 98767,HD 190360 c,2005,http://exoplanet.eu/catalog/hd_190360_c/
368,HD 190647,b,Radial Velocity,1,1038.10000000,2.070000,0.180000,,1.90000,,,,0,301.831970,-35.538631,54.23,7.775,,,,HD 190647,HIP 99115,HD 190647 b,2007,http://exoplanet.eu/catalog/hd_190647_b/
369,HD 190984,b,Radial Velocity,1,4885.00000000,5.500000,0.570000,,3.10000,,,,0,302.877991,-64.620468,189.39,8.760,5988.00,0.9100,1.53,HD 190984,HIP 99496,HD 190984 b,2009,http://exoplanet.eu/catalog/hd_190984_b/
370,HD 192263,b,Radial Velocity,1,24.35560000,0.153200,0.055000,,0.64100,,,,0,303.499359,-0.866877,19.89,7.790,,,,HD 192263,HIP 99711,HD 192263 b,1999,http://exoplanet.eu/catalog/hd_192263_b/
371,HD 192310,b,Radial Velocity,2,74.72000000,0.320000,0.130000,,0.05317,,,90.000,0,303.822449,-27.032976,8.82,5.730,,,,HD 192310,HIP 99825,HD 192310 b,2011,http://exoplanet.eu/catalog/gl_785_b/
372,HD 192310,c,Radial Velocity,2,525.80000000,1.180000,0.320000,,0.07551,,,90.000,0,303.822449,-27.032976,8.82,5.730,,,,HD 192310,HIP 99825,HD 192310 c,2011,http://exoplanet.eu/catalog/hd_192310_c/
373,HD 192699,b,Radial Velocity,1,345.53000000,1.150000,0.129000,,2.40000,,,,0,304.025024,4.580795,67.39,6.440,5220.00,1.6800,3.90,HD 192699,HIP 99894,HD 192699 b,2007,http://exoplanet.eu/catalog/hd_192699_b/
374,HD 195019,b,Radial Velocity,1,18.20132000,0.138800,0.013800,,3.69000,,,,0,307.077637,18.769497,37.35,6.870,5788.00,1.0700,,HD 195019,HIP 100970,HD 195019 b,1998,http://exoplanet.eu/catalog/hd_195019_b/
375,HD 196050,b,Radial Velocity,1,1378.00000000,2.540000,0.228000,,2.90000,,,,0,309.465454,-60.634483,46.93,7.500,5892.00,1.1500,,HD 196050,HIP 101806,HD 196050 b,2002,http://exoplanet.eu/catalog/hd_196050_b/
376,HD 196067,b,Radial Velocity,1,3638.00000000,5.020000,0.660000,,6.90000,,,,0,310.433716,-75.350800,43.57,6.030,6017.00,1.2900,1.73,HD 196067,HIP 102125,HD 196067 b,2012,http://exoplanet.eu/catalog/hd_196067_b/
377,HD 196885,b,Radial Velocity,1,1333.00000000,2.370000,0.480000,,2.58000,,,,0,309.966156,11.249649,32.99,6.398,6254.00,1.2800,1.31,HD 196885,HIP 101966,HD 196885 b,2007,http://exoplanet.eu/catalog/hd_196885_a_b/
378,HD 197037,b,Radial Velocity,1,1035.70000000,2.070000,0.220000,,0.79000,,,,0,309.887329,42.248550,32.83,6.813,,,,HD 197037,HIP 101948,HD 197037 b,2011,http://exoplanet.eu/catalog/hd_197037_b/
379,HD 19994,b,Radial Velocity,1,466.20000000,1.305000,0.063000,,1.37000,,,,0,48.193485,-1.196101,22.38,5.060,6190.00,1.3700,,HD 19994,HIP 14954,HD 19994 b,2003,http://exoplanet.eu/catalog/hd_19994_b/
380,HD 200964,b,Radial Velocity,2,613.80000000,1.601000,0.040000,,1.85000,,,,0,316.666016,3.803119,68.35,6.487,5164.00,1.4400,4.30,HD 200964,HIP 104202,HD 200964 b,2010,http://exoplanet.eu/catalog/hd_200964_b/
381,HD 200964,c,Radial Velocity,2,825.00000000,1.950000,0.181000,,0.89500,,,,0,316.666016,3.803119,68.35,6.487,5164.00,1.4400,4.30,HD 200964,HIP 104202,HD 200964 c,2010,http://exoplanet.eu/catalog/hd_200964_c/
382,HD 202206,b,Radial Velocity,2,255.87000000,0.830400,0.434920,,17.42774,,,90.000,0,318.740692,-20.789209,46.34,8.080,5765.00,1.1500,,HD 202206,HIP 104903,HD 202206 b,2002,http://exoplanet.eu/catalog/hd_202206_b/
383,HD 202206,c,Radial Velocity,2,1383.40000000,2.542000,0.266920,,2.43653,,,90.000,0,318.740692,-20.789209,46.34,8.080,5765.00,1.1500,,HD 202206,HIP 104903,HD 202206 c,2004,http://exoplanet.eu/catalog/hd_202206_c/
384,HD 203030,b,Imaging,1,,487.100000,,24.09000,,,,,0,319.742584,26.230545,40.85,8.425,,,,HD 203030,HIP 105232,HD 203030 b,2006,
385,HD 2039,b,Radial Velocity,1,1120.00000000,2.230000,0.715000,,6.11000,,,,0,6.084491,-56.650047,89.85,9.000,5941.00,1.1700,,HD 2039,HIP 1931,HD 2039 b,2002,http://exoplanet.eu/catalog/hd_2039_b/
386,HD 204313,b,Radial Velocity,2,1920.10000000,3.040000,0.230000,,3.55000,,,,0,322.050873,-21.726255,47.30,8.006,5760.00,1.0200,,HD 204313,HIP 106006,HD 204313 b,2009,http://exoplanet.eu/catalog/hd_204313_b/
387,HD 204313,d,Radial Velocity,2,2831.60000000,3.930000,0.280000,,1.68000,,,,0,322.050873,-21.726255,47.30,8.006,5760.00,1.0200,,HD 204313,HIP 106006,HD 204313 d,2012,http://exoplanet.eu/catalog/hd_204313_d/
388,HD 204941,b,Radial Velocity,1,1733.00000000,2.560000,0.370000,,0.26600,,,,0,323.097961,-20.957422,26.95,8.450,,,,HD 204941,HIP 106353,HD 204941 b,2011,http://exoplanet.eu/catalog/hd_204941_b/
389,HD 205739,b,Radial Velocity,1,279.80000000,0.896000,0.270000,,1.37000,,,,0,324.535034,-31.737484,90.33,8.560,6176.00,1.2200,1.33,HD 205739,HIP 106824,HD 205739 b,2008,http://exoplanet.eu/catalog/hd_205739_b/
390,HD 206610,b,Radial Velocity,1,610.00000000,1.680000,0.229000,,2.20000,,,,0,325.853760,-7.408253,170.07,8.346,,,,HD 206610,HIP 107251,HD 206610 b,2009,http://exoplanet.eu/catalog/hd_206610_b/
391,HD 20782,b,Radial Velocity,1,577.90000000,1.359000,0.570000,,0.73000,,,,0,50.014908,-28.854071,36.02,7.367,5758.00,1.0000,,HD 20782,HIP 15527,HD 20782 b,2006,http://exoplanet.eu/catalog/hd_20782_b/
392,HD 207832,b,Radial Velocity,2,161.97000000,0.570000,0.130000,0.56000,,,,,0,328.151184,-26.026560,55.31,8.786,5710.00,0.9400,0.90,HD 207832,HIP 107985,HD 207832 b,2012,http://exoplanet.eu/catalog/hd_207832_b/
393,HD 207832,c,Radial Velocity,2,1155.70000000,2.112000,0.270000,0.73000,,,,,0,328.151184,-26.026560,55.31,8.786,5710.00,0.9400,0.90,HD 207832,HIP 107985,HD 207832 c,2012,http://exoplanet.eu/catalog/hd_207832_c/
394,HD 20794,b,Radial Velocity,3,18.31500000,0.120700,0.000000,,0.00850,,,90.000,0,49.981876,-43.069782,6.06,4.270,,,,HD 20794,HIP 15510,HD 20794 b,2011,http://exoplanet.eu/catalog/hd_20794_b/
395,HD 20794,c,Radial Velocity,3,40.11400000,0.203600,0.000000,,0.00755,,,90.000,0,49.981876,-43.069782,6.06,4.270,,,,HD 20794,HIP 15510,HD 20794 c,2011,http://exoplanet.eu/catalog/hd_20794_c/
396,HD 20794,d,Radial Velocity,3,90.30900000,0.349900,0.000000,,0.01510,,,90.000,0,49.981876,-43.069782,6.06,4.270,,,,HD 20794,HIP 15510,HD 20794 d,2011,http://exoplanet.eu/catalog/hd_20794_d/
397,HD 208487,b,Radial Velocity,1,130.08000000,0.524000,0.240000,,0.52000,,,,0,329.332703,-37.763622,44.00,7.471,6067.00,1.1300,,HD 208487,HIP 108375,HD 208487 b,2004,http://exoplanet.eu/catalog/hd_208487_b/
398,HD 208527,b,Radial Velocity,1,875.50000000,2.100000,0.080000,,9.90000,,,,0,329.099945,21.239859,352.11,6.400,4035.00,1.6000,51.10,HD 208527,HIP 108296,HD 208527 b,2012,http://exoplanet.eu/catalog/hd_208527_b/
399,HD 20868,b,Radial Velocity,1,380.85000000,0.947000,0.750000,,1.99000,,,,0,50.177895,-33.730103,48.90,9.920,4795.00,0.7800,0.79,HD 20868,HIP 15578,HD 20868 b,2008,http://exoplanet.eu/catalog/hd_20868_b/
